zip_code,watch,ucr_offense_description,c3
75205,U,ACCIDENTAL INJURY,1
75205,U,AUTO THEFT - UUMV,3
75205,U,BURGLARY,14
75205,U,CRIMINAL MISCHIEF/VANDALISM,13
75205,U,DISORDERLY CONDUCT,3
75205,U,EMBEZZLEMENT,2
75205,U,FOUND PROPERTY,6
75205,U,FRAUD,4
75205,U,LOST PROPERTY,1
75205,U,MOTOR VEHICLE ACCIDENT,1
75205,U,ROBBERY,1
75205,U,SUDDEN DEATH,2
75205,U,THEFT,47
75206,1,ACCIDENTAL INJURY,25
75206,1,AGGRAVATED ASSAULT,14
75206,1,ARSON,4
75206,1,ASSAULT,31
75206,1,AUTO THEFT - UUMV,160
75206,1,BURGLARY,186
75206,1,CRIMINAL MISCHIEF/VANDALISM,202
75206,1,DISORDERLY CONDUCT,6
75206,1,DWI,14
75206,1,EMBEZZLEMENT,7
75206,1,FORGERY & COUNTERFEIT,12
75206,1,FOUND PROPERTY,79
75206,1,FRAUD,26
75206,1,HOME ACCIDENT,6
75206,1,INTOXICATION MANSLAUGHTER,1
75206,1,LOST PROPERTY,11
75206,1,MOTOR VEHICLE ACCIDENT,108
75206,1,MURDER,1
75206,1,NARCOTICS/DRUGS,3
75206,1,OTHER OFFENSES,25
75206,1,ROBBERY,44
75206,1,SUDDEN DEATH,12
75206,1,THEFT,742
75206,1,WEAPONS,1
75206,2,ACCIDENTAL INJURY,19
75206,2,AGGRAVATED ASSAULT,5
75206,2,ANIMAL BITE,4
75206,2,ARSON,1
75206,2,ASSAULT,37
75206,2,AUTO THEFT - UUMV,62
75206,2,BURGLARY,118
75206,2,CRIMINAL MISCHIEF/VANDALISM,98
75206,2,DISORDERLY CONDUCT,11
75206,2,DWI,4
75206,2,EMBEZZLEMENT,5
75206,2,FIREARMS ACCIDENT,1
75206,2,FORGERY & COUNTERFEIT,22
75206,2,FOUND PROPERTY,108
75206,2,FRAUD,13
75206,2,HOME ACCIDENT,7
75206,2,LOST PROPERTY,13
75206,2,MOTOR VEHICLE ACCIDENT,185
75206,2,NARCOTICS/DRUGS,1
75206,2,OTHER OFFENSES,41
75206,2,ROBBERY,32
75206,2,SUDDEN DEATH,13
75206,2,THEFT,398
75206,3,ACCIDENTAL INJURY,29
75206,3,AGGRAVATED ASSAULT,15
75206,3,ANIMAL BITE,7
75206,3,ASSAULT,59
75206,3,AUTO THEFT - UUMV,40
75206,3,BURGLARY,47
75206,3,CHILD (OFFENSES AGAINST),3
75206,3,CRIMINAL MISCHIEF/VANDALISM,133
75206,3,DISORDERLY CONDUCT,10
75206,3,DWI,21
75206,3,EMBEZZLEMENT,4
75206,3,FORGERY & COUNTERFEIT,16
75206,3,FOUND PROPERTY,79
75206,3,FRAUD,16
75206,3,HOME ACCIDENT,13
75206,3,LOST PROPERTY,25
75206,3,MOTOR VEHICLE ACCIDENT,277
75206,3,NARCOTICS/DRUGS,6
75206,3,OCCUPATIONAL ACCIDENT,1
75206,3,OTHER OFFENSES,37
75206,3,ROBBERY,68
75206,3,SUDDEN DEATH,8
75206,3,THEFT,422
75206,3,TRAFFIC FATALITY,1
75206,3,WEAPONS,1
75206,U,AUTO THEFT - UUMV,58
75206,U,BURGLARY,99
75206,U,CHILD (OFFENSES AGAINST),1
75206,U,CRIMINAL MISCHIEF/VANDALISM,70
75206,U,DISORDERLY CONDUCT,10
75206,U,EMBEZZLEMENT,11
75206,U,FORGERY & COUNTERFEIT,4
75206,U,FOUND PROPERTY,49
75206,U,FRAUD,7
75206,U,LOST PROPERTY,15
75206,U,MOTOR VEHICLE ACCIDENT,15
75206,U,NARCOTICS/DRUGS,1
75206,U,OTHER OFFENSES,2
75206,U,ROBBERY,1
75206,U,SUDDEN DEATH,8
75206,U,THEFT,298
75207,1,ACCIDENTAL INJURY,16
75207,1,AGGRAVATED ASSAULT,5
75207,1,ASSAULT,18
75207,1,AUTO THEFT - UUMV,61
75207,1,BURGLARY,55
75207,1,CRIMINAL MISCHIEF/VANDALISM,77
75207,1,DISORDERLY CONDUCT,4
75207,1,DWI,12
75207,1,EMBEZZLEMENT,9
75207,1,FOUND PROPERTY,50
75207,1,FRAUD,9
75207,1,HOME ACCIDENT,2
75207,1,LOST PROPERTY,5
75207,1,MOTOR VEHICLE ACCIDENT,54
75207,1,MURDER,1
75207,1,OTHER OFFENSES,5
75207,1,ROBBERY,17
75207,1,SUDDEN DEATH,4
75207,1,THEFT,209
75207,1,TRAFFIC FATALITY,1
75207,2,ACCIDENTAL INJURY,5
75207,2,AGGRAVATED ASSAULT,2
75207,2,ANIMAL BITE,1
75207,2,ARSON,1
75207,2,ASSAULT,36
75207,2,AUTO THEFT - UUMV,44
75207,2,BURGLARY,19
75207,2,CRIMINAL MISCHIEF/VANDALISM,51
75207,2,DISORDERLY CONDUCT,4
75207,2,DWI,2
75207,2,EMBEZZLEMENT,7
75207,2,FIREARMS ACCIDENT,1
75207,2,FORGERY & COUNTERFEIT,12
75207,2,FOUND PROPERTY,51
75207,2,FRAUD,11
75207,2,HOME ACCIDENT,1
75207,2,LOST PROPERTY,14
75207,2,MOTOR VEHICLE ACCIDENT,75
75207,2,NARCOTICS/DRUGS,1
75207,2,OTHER OFFENSES,16
75207,2,ROBBERY,5
75207,2,SUDDEN DEATH,1
75207,2,THEFT,231
75207,3,ACCIDENTAL INJURY,11
75207,3,AGGRAVATED ASSAULT,8
75207,3,ARSON,1
75207,3,ASSAULT,23
75207,3,AUTO THEFT - UUMV,35
75207,3,BURGLARY,28
75207,3,CRIMINAL MISCHIEF/VANDALISM,39
75207,3,DISORDERLY CONDUCT,6
75207,3,DWI,5
75207,3,EMBEZZLEMENT,3
75207,3,FORGERY & COUNTERFEIT,4
75207,3,FOUND PROPERTY,52
75207,3,FRAUD,8
75207,3,HOME ACCIDENT,1
75207,3,LOST PROPERTY,5
75207,3,MOTOR VEHICLE ACCIDENT,108
75207,3,NARCOTICS/DRUGS,3
75207,3,OTHER OFFENSES,12
75207,3,ROBBERY,15
75207,3,SUDDEN DEATH,2
75207,3,THEFT,132
75207,3,TRAFFIC FATALITY,1
75207,3,WEAPONS,1
75207,U,ACCIDENTAL INJURY,1
75207,U,AGGRAVATED ASSAULT,1
75207,U,ASSAULT,2
75207,U,AUTO THEFT - UUMV,33
75207,U,BURGLARY,34
75207,U,CRIMINAL MISCHIEF/VANDALISM,38
75207,U,DWI,1
75207,U,EMBEZZLEMENT,6
75207,U,FORGERY & COUNTERFEIT,2
75207,U,FOUND PROPERTY,11
75207,U,FRAUD,6
75207,U,LOST PROPERTY,8
75207,U,MOTOR VEHICLE ACCIDENT,2
75207,U,OTHER OFFENSES,2
75207,U,ROBBERY,1
75207,U,SUDDEN DEATH,2
75207,U,THEFT,128
75208,1,ACCIDENTAL INJURY,10
75208,1,AGGRAVATED ASSAULT,20
75208,1,ANIMAL BITE,2
75208,1,ARSON,4
75208,1,ASSAULT,31
75208,1,AUTO THEFT - UUMV,95
75208,1,BURGLARY,159
75208,1,CRIMINAL MISCHIEF/VANDALISM,170
75208,1,DISORDERLY CONDUCT,11
75208,1,DWI,21
75208,1,EMBEZZLEMENT,3
75208,1,FORGERY & COUNTERFEIT,4
75208,1,FOUND PROPERTY,143
75208,1,FRAUD,4
75208,1,HOME ACCIDENT,12
75208,1,LIQUOR,1
75208,1,LOST PROPERTY,4
75208,1,MOTOR VEHICLE ACCIDENT,105
75208,1,MURDER,1
75208,1,NARCOTICS/DRUGS,5
75208,1,OTHER OFFENSES,14
75208,1,ROBBERY,47
75208,1,SUDDEN DEATH,17
75208,1,THEFT,375
75208,1,WEAPONS,3
75208,2,ACCIDENTAL INJURY,16
75208,2,AGGRAVATED ASSAULT,11
75208,2,ANIMAL BITE,11
75208,2,ARSON,1
75208,2,ASSAULT,54
75208,2,AUTO THEFT - UUMV,38
75208,2,BURGLARY,152
75208,2,CRIMINAL MISCHIEF/VANDALISM,111
75208,2,DISORDERLY CONDUCT,20
75208,2,DWI,2
75208,2,EMBEZZLEMENT,5
75208,2,FORGERY & COUNTERFEIT,27
75208,2,FOUND PROPERTY,138
75208,2,FRAUD,7
75208,2,HOME ACCIDENT,11
75208,2,LOST PROPERTY,13
75208,2,MOTOR VEHICLE ACCIDENT,163
75208,2,NARCOTICS/DRUGS,2
75208,2,OTHER OFFENSES,19
75208,2,ROBBERY,23
75208,2,SUDDEN DEATH,8
75208,2,THEFT,297
75208,2,TRAFFIC FATALITY,2
75208,3,ACCIDENTAL INJURY,16
75208,3,AGGRAVATED ASSAULT,20
75208,3,ANIMAL BITE,5
75208,3,ARSON,4
75208,3,ASSAULT,67
75208,3,AUTO THEFT - UUMV,57
75208,3,BURGLARY,73
75208,3,CHILD (OFFENSES AGAINST),2
75208,3,CRIMINAL MISCHIEF/VANDALISM,120
75208,3,DISORDERLY CONDUCT,13
75208,3,DWI,14
75208,3,EMBEZZLEMENT,3
75208,3,FIREARMS ACCIDENT,1
75208,3,FORGERY & COUNTERFEIT,9
75208,3,FOUND PROPERTY,73
75208,3,FRAUD,7
75208,3,HOME ACCIDENT,11
75208,3,LIQUOR,2
75208,3,LOST PROPERTY,7
75208,3,MOTOR VEHICLE ACCIDENT,198
75208,3,NARCOTICS/DRUGS,4
75208,3,OCCUPATIONAL ACCIDENT,1
75208,3,OTHER OFFENSES,18
75208,3,ROBBERY,73
75208,3,SUDDEN DEATH,6
75208,3,THEFT,260
75208,3,TRAFFIC FATALITY,2
75208,3,WEAPONS,2
75208,U,ACCIDENTAL INJURY,1
75208,U,AGGRAVATED ASSAULT,2
75208,U,ASSAULT,5
75208,U,AUTO THEFT - UUMV,35
75208,U,BURGLARY,111
75208,U,CRIMINAL MISCHIEF/VANDALISM,80
75208,U,DISORDERLY CONDUCT,10
75208,U,EMBEZZLEMENT,4
75208,U,FORGERY & COUNTERFEIT,4
75208,U,FOUND PROPERTY,62
75208,U,FRAUD,10
75208,U,LIQUOR,1
75208,U,LOST PROPERTY,7
75208,U,MOTOR VEHICLE ACCIDENT,25
75208,U,OTHER OFFENSES,2
75208,U,ROBBERY,1
75208,U,SUDDEN DEATH,4
75208,U,THEFT,167
75209,1,ACCIDENTAL INJURY,4
75209,1,AGGRAVATED ASSAULT,1
75209,1,ARSON,4
75209,1,ASSAULT,7
75209,1,AUTO THEFT - UUMV,40
75209,1,BURGLARY,76
75209,1,CRIMINAL MISCHIEF/VANDALISM,48
75209,1,DISORDERLY CONDUCT,1
75209,1,DWI,5
75209,1,FOUND PROPERTY,29
75209,1,FRAUD,4
75209,1,HOME ACCIDENT,1
75209,1,LOST PROPERTY,2
75209,1,MOTOR VEHICLE ACCIDENT,34
75209,1,NARCOTICS/DRUGS,1
75209,1,OTHER OFFENSES,9
75209,1,ROBBERY,9
75209,1,SUDDEN DEATH,10
75209,1,THEFT,257
75209,1,TRAFFIC FATALITY,1
75209,1,WEAPONS,1
75209,2,ACCIDENTAL INJURY,5
75209,2,AGGRAVATED ASSAULT,4
75209,2,ASSAULT,20
75209,2,AUTO THEFT - UUMV,27
75209,2,BURGLARY,38
75209,2,CRIMINAL MISCHIEF/VANDALISM,43
75209,2,DISORDERLY CONDUCT,8
75209,2,DWI,1
75209,2,EMBEZZLEMENT,2
75209,2,FORGERY & COUNTERFEIT,4
75209,2,FOUND PROPERTY,40
75209,2,FRAUD,5
75209,2,HOME ACCIDENT,4
75209,2,LOST PROPERTY,3
75209,2,MOTOR VEHICLE ACCIDENT,70
75209,2,OCCUPATIONAL ACCIDENT,3
75209,2,OTHER OFFENSES,14
75209,2,ROBBERY,6
75209,2,SUDDEN DEATH,8
75209,2,THEFT,156
75209,2,TRAFFIC FATALITY,1
75209,3,ACCIDENTAL INJURY,6
75209,3,AGGRAVATED ASSAULT,4
75209,3,ANIMAL BITE,3
75209,3,ASSAULT,16
75209,3,AUTO THEFT - UUMV,5
75209,3,BURGLARY,22
75209,3,CRIMINAL MISCHIEF/VANDALISM,38
75209,3,DISORDERLY CONDUCT,2
75209,3,DWI,4
75209,3,EMBEZZLEMENT,3
75209,3,FORGERY & COUNTERFEIT,2
75209,3,FOUND PROPERTY,20
75209,3,FRAUD,6
75209,3,HOME ACCIDENT,6
75209,3,LOST PROPERTY,4
75209,3,MOTOR VEHICLE ACCIDENT,63
75209,3,OTHER OFFENSES,6
75209,3,ROBBERY,10
75209,3,SUDDEN DEATH,2
75209,3,THEFT,146
75209,3,TRAFFIC FATALITY,1
75209,U,AGGRAVATED ASSAULT,1
75209,U,AUTO THEFT - UUMV,15
75209,U,BURGLARY,34
75209,U,CRIMINAL MISCHIEF/VANDALISM,29
75209,U,DISORDERLY CONDUCT,4
75209,U,EMBEZZLEMENT,11
75209,U,FORGERY & COUNTERFEIT,2
75209,U,FOUND PROPERTY,20
75209,U,FRAUD,6
75209,U,LOST PROPERTY,2
75209,U,MOTOR VEHICLE ACCIDENT,2
75209,U,OTHER OFFENSES,4
75209,U,SUDDEN DEATH,2
75209,U,THEFT,94
75210,1,ACCIDENTAL INJURY,11
75210,1,AGGRAVATED ASSAULT,18
75210,1,ANIMAL BITE,1
75210,1,ARSON,11
75210,1,ASSAULT,28
75210,1,AUTO THEFT - UUMV,36
75210,1,BURGLARY,81
75210,1,CRIMINAL MISCHIEF/VANDALISM,76
75210,1,DISORDERLY CONDUCT,3
75210,1,DWI,6
75210,1,EMBEZZLEMENT,3
75210,1,FIREARMS ACCIDENT,2
75210,1,FORGERY & COUNTERFEIT,1
75210,1,FOUND PROPERTY,53
75210,1,FRAUD,1
75210,1,HOME ACCIDENT,13
75210,1,LIQUOR,3
75210,1,LOST PROPERTY,4
75210,1,MOTOR VEHICLE ACCIDENT,36
75210,1,NARCOTICS/DRUGS,5
75210,1,OTHER OFFENSES,17
75210,1,ROBBERY,38
75210,1,SUDDEN DEATH,12
75210,1,THEFT,102
75210,1,WEAPONS,1
75210,2,ACCIDENTAL INJURY,20
75210,2,AGGRAVATED ASSAULT,21
75210,2,ANIMAL BITE,4
75210,2,ARSON,2
75210,2,ASSAULT,44
75210,2,AUTO THEFT - UUMV,23
75210,2,BURGLARY,71
75210,2,CRIMINAL MISCHIEF/VANDALISM,68
75210,2,DISORDERLY CONDUCT,12
75210,2,EMBEZZLEMENT,2
75210,2,FIREARMS ACCIDENT,2
75210,2,FORGERY & COUNTERFEIT,2
75210,2,FOUND PROPERTY,152
75210,2,FRAUD,7
75210,2,HOME ACCIDENT,7
75210,2,LOST PROPERTY,16
75210,2,MOTOR VEHICLE ACCIDENT,43
75210,2,MURDER,1
75210,2,NARCOTICS/DRUGS,6
75210,2,OTHER OFFENSES,22
75210,2,ROBBERY,22
75210,2,SUDDEN DEATH,5
75210,2,THEFT,89
75210,2,WEAPONS,1
75210,3,ACCIDENTAL INJURY,42
75210,3,AGGRAVATED ASSAULT,37
75210,3,ANIMAL BITE,11
75210,3,ARSON,2
75210,3,ASSAULT,91
75210,3,AUTO THEFT - UUMV,37
75210,3,BURGLARY,69
75210,3,CHILD (OFFENSES AGAINST),1
75210,3,CRIMINAL MISCHIEF/VANDALISM,91
75210,3,DISORDERLY CONDUCT,15
75210,3,DWI,6
75210,3,EMBEZZLEMENT,1
75210,3,FIREARMS ACCIDENT,3
75210,3,FORGERY & COUNTERFEIT,3
75210,3,FOUND PROPERTY,136
75210,3,FRAUD,2
75210,3,HOME ACCIDENT,12
75210,3,LOST PROPERTY,24
75210,3,MOTOR VEHICLE ACCIDENT,85
75210,3,MURDER,2
75210,3,NARCOTICS/DRUGS,11
75210,3,OCCUPATIONAL ACCIDENT,1
75210,3,OTHER OFFENSES,22
75210,3,ROBBERY,59
75210,3,SUDDEN DEATH,4
75210,3,THEFT,119
75210,3,TRAFFIC FATALITY,1
75210,3,WEAPONS,6
75210,U,AUTO THEFT - UUMV,21
75210,U,BURGLARY,54
75210,U,CRIMINAL MISCHIEF/VANDALISM,26
75210,U,DISORDERLY CONDUCT,5
75210,U,EMBEZZLEMENT,1
75210,U,FOUND PROPERTY,20
75210,U,FRAUD,1
75210,U,HOME ACCIDENT,1
75210,U,LOST PROPERTY,4
75210,U,MOTOR VEHICLE ACCIDENT,6
75210,U,NARCOTICS/DRUGS,1
75210,U,OTHER OFFENSES,4
75210,U,SUDDEN DEATH,5
75210,U,THEFT,40
75211,1,ACCIDENTAL INJURY,16
75211,1,AGGRAVATED ASSAULT,32
75211,1,AIRPLANE,1
75211,1,ANIMAL BITE,2
75211,1,ARSON,9
75211,1,ASSAULT,66
75211,1,AUTO THEFT - UUMV,328
75211,1,BURGLARY,160
75211,1,CHILD (OFFENSES AGAINST),1
75211,1,CRIMINAL MISCHIEF/VANDALISM,384
75211,1,DISORDERLY CONDUCT,15
75211,1,DWI,38
75211,1,EMBEZZLEMENT,4
75211,1,FORGERY & COUNTERFEIT,4
75211,1,FOUND PROPERTY,181
75211,1,FRAUD,4
75211,1,HOME ACCIDENT,14
75211,1,LOST PROPERTY,9
75211,1,MOTOR VEHICLE ACCIDENT,213
75211,1,NARCOTICS/DRUGS,7
75211,1,OTHER OFFENSES,30
75211,1,ROBBERY,87
75211,1,SUDDEN DEATH,34
75211,1,THEFT,738
75211,1,TRAFFIC FATALITY,4
75211,1,WEAPONS,3
75211,2,ACCIDENTAL INJURY,27
75211,2,AGGRAVATED ASSAULT,20
75211,2,ANIMAL BITE,21
75211,2,ARSON,2
75211,2,ASSAULT,65
75211,2,AUTO THEFT - UUMV,143
75211,2,BURGLARY,292
75211,2,CHILD (OFFENSES AGAINST),2
75211,2,CRIMINAL MISCHIEF/VANDALISM,214
75211,2,DISORDERLY CONDUCT,26
75211,2,DWI,2
75211,2,EMBEZZLEMENT,12
75211,2,FIREARMS ACCIDENT,3
75211,2,FORGERY & COUNTERFEIT,21
75211,2,FOUND PROPERTY,282
75211,2,FRAUD,12
75211,2,HOME ACCIDENT,20
75211,2,LOST PROPERTY,27
75211,2,MOTOR VEHICLE ACCIDENT,243
75211,2,NARCOTICS/DRUGS,7
75211,2,OCCUPATIONAL ACCIDENT,4
75211,2,OTHER OFFENSES,59
75211,2,ROBBERY,38
75211,2,SUDDEN DEATH,29
75211,2,THEFT,504
75211,2,TRAFFIC FATALITY,1
75211,2,WEAPONS,2
75211,3,ACCIDENTAL INJURY,30
75211,3,AGGRAVATED ASSAULT,41
75211,3,ANIMAL BITE,12
75211,3,ARSON,6
75211,3,ASSAULT,115
75211,3,AUTO THEFT - UUMV,151
75211,3,BURGLARY,144
75211,3,CHILD (OFFENSES AGAINST),3
75211,3,CRIMINAL MISCHIEF/VANDALISM,289
75211,3,DISORDERLY CONDUCT,45
75211,3,DWI,28
75211,3,EMBEZZLEMENT,11
75211,3,FIREARMS ACCIDENT,4
75211,3,FORGERY & COUNTERFEIT,12
75211,3,FOUND PROPERTY,201
75211,3,FRAUD,13
75211,3,HOME ACCIDENT,16
75211,3,LIQUOR,1
75211,3,LOST PROPERTY,31
75211,3,MOTOR VEHICLE ACCIDENT,281
75211,3,MURDER,2
75211,3,NARCOTICS/DRUGS,11
75211,3,OTHER OFFENSES,73
75211,3,ROBBERY,138
75211,3,SUDDEN DEATH,26
75211,3,THEFT,474
75211,3,TRAFFIC FATALITY,5
75211,3,WEAPONS,2
75211,U,ACCIDENTAL INJURY,2
75211,U,AGGRAVATED ASSAULT,2
75211,U,ARSON,2
75211,U,ASSAULT,4
75211,U,AUTO THEFT - UUMV,106
75211,U,BURGLARY,107
75211,U,CHILD (OFFENSES AGAINST),1
75211,U,CRIMINAL MISCHIEF/VANDALISM,125
75211,U,DISORDERLY CONDUCT,24
75211,U,EMBEZZLEMENT,15
75211,U,FORGERY & COUNTERFEIT,5
75211,U,FOUND PROPERTY,79
75211,U,FRAUD,13
75211,U,LOST PROPERTY,28
75211,U,MOTOR VEHICLE ACCIDENT,23
75211,U,OTHER OFFENSES,8
75211,U,ROBBERY,6
75211,U,SUDDEN DEATH,14
75211,U,THEFT,305
75212,1,ACCIDENTAL INJURY,7
75212,1,AGGRAVATED ASSAULT,22
75212,1,ANIMAL BITE,3
75212,1,ARSON,18
75212,1,ASSAULT,37
75212,1,AUTO THEFT - UUMV,110
75212,1,BURGLARY,74
75212,1,CHILD (OFFENSES AGAINST),2
75212,1,CRIMINAL MISCHIEF/VANDALISM,157
75212,1,DISORDERLY CONDUCT,10
75212,1,DWI,22
75212,1,EMBEZZLEMENT,4
75212,1,FIREARMS ACCIDENT,1
75212,1,FORGERY & COUNTERFEIT,1
75212,1,FOUND PROPERTY,123
75212,1,HOME ACCIDENT,9
75212,1,LOST PROPERTY,3
75212,1,MOTOR VEHICLE ACCIDENT,111
75212,1,MURDER,2
75212,1,NARCOTICS/DRUGS,6
75212,1,OTHER OFFENSES,29
75212,1,ROBBERY,39
75212,1,SUDDEN DEATH,15
75212,1,THEFT,233
75212,1,TRAFFIC FATALITY,1
75212,1,WEAPONS,4
75212,2,ACCIDENTAL INJURY,11
75212,2,AGGRAVATED ASSAULT,18
75212,2,ANIMAL BITE,11
75212,2,ARSON,2
75212,2,ASSAULT,62
75212,2,AUTO THEFT - UUMV,54
75212,2,BURGLARY,92
75212,2,CHILD (OFFENSES AGAINST),2
75212,2,CRIMINAL MISCHIEF/VANDALISM,100
75212,2,DISORDERLY CONDUCT,27
75212,2,EMBEZZLEMENT,2
75212,2,FIREARMS ACCIDENT,1
75212,2,FORGERY & COUNTERFEIT,3
75212,2,FOUND PROPERTY,236
75212,2,FRAUD,6
75212,2,HOME ACCIDENT,5
75212,2,LOST PROPERTY,7
75212,2,MOTOR VEHICLE ACCIDENT,126
75212,2,MURDER,2
75212,2,NARCOTICS/DRUGS,9
75212,2,OCCUPATIONAL ACCIDENT,2
75212,2,OTHER OFFENSES,41
75212,2,ROBBERY,20
75212,2,SUDDEN DEATH,16
75212,2,THEFT,172
75212,2,TRAFFIC FATALITY,1
75212,2,WEAPONS,1
75212,3,ACCIDENTAL INJURY,13
75212,3,AGGRAVATED ASSAULT,30
75212,3,ANIMAL BITE,15
75212,3,ARSON,6
75212,3,ASSAULT,68
75212,3,AUTO THEFT - UUMV,66
75212,3,BURGLARY,54
75212,3,CHILD (OFFENSES AGAINST),3
75212,3,CRIMINAL MISCHIEF/VANDALISM,154
75212,3,DISORDERLY CONDUCT,13
75212,3,DWI,15
75212,3,EMBEZZLEMENT,1
75212,3,FIREARMS ACCIDENT,2
75212,3,FORGERY & COUNTERFEIT,3
75212,3,FOUND PROPERTY,158
75212,3,FRAUD,7
75212,3,HOME ACCIDENT,12
75212,3,LOST PROPERTY,11
75212,3,MOTOR VEHICLE ACCIDENT,169
75212,3,NARCOTICS/DRUGS,6
75212,3,OCCUPATIONAL ACCIDENT,1
75212,3,OTHER OFFENSES,38
75212,3,ROBBERY,50
75212,3,SUDDEN DEATH,13
75212,3,THEFT,156
75212,3,TRAFFIC FATALITY,3
75212,3,WEAPONS,1
75212,U,AGGRAVATED ASSAULT,1
75212,U,ASSAULT,3
75212,U,AUTO THEFT - UUMV,32
75212,U,BURGLARY,65
75212,U,CRIMINAL MISCHIEF/VANDALISM,63
75212,U,DISORDERLY CONDUCT,9
75212,U,EMBEZZLEMENT,7
75212,U,FIREARMS ACCIDENT,1
75212,U,FORGERY & COUNTERFEIT,1
75212,U,FOUND PROPERTY,64
75212,U,FRAUD,4
75212,U,HOME ACCIDENT,1
75212,U,LOST PROPERTY,5
75212,U,MOTOR VEHICLE ACCIDENT,8
75212,U,OTHER OFFENSES,2
75212,U,SUDDEN DEATH,7
75212,U,THEFT,125
75214,1,ACCIDENTAL INJURY,6
75214,1,AGGRAVATED ASSAULT,3
75214,1,ANIMAL BITE,2
75214,1,ARSON,1
75214,1,ASSAULT,12
75214,1,AUTO THEFT - UUMV,94
75214,1,BURGLARY,125
75214,1,CHILD (OFFENSES AGAINST),1
75214,1,CRIMINAL MISCHIEF/VANDALISM,153
75214,1,DISORDERLY CONDUCT,2
75214,1,DWI,8
75214,1,FORGERY & COUNTERFEIT,2
75214,1,FOUND PROPERTY,46
75214,1,FRAUD,1
75214,1,HOME ACCIDENT,7
75214,1,LOST PROPERTY,1
75214,1,MOTOR VEHICLE ACCIDENT,50
75214,1,NARCOTICS/DRUGS,4
75214,1,OTHER OFFENSES,6
75214,1,ROBBERY,24
75214,1,SUDDEN DEATH,19
75214,1,THEFT,441
75214,2,ACCIDENTAL INJURY,9
75214,2,AGGRAVATED ASSAULT,2
75214,2,ANIMAL BITE,8
75214,2,ASSAULT,23
75214,2,AUTO THEFT - UUMV,34
75214,2,BURGLARY,106
75214,2,CHILD (OFFENSES AGAINST),1
75214,2,CRIMINAL MISCHIEF/VANDALISM,71
75214,2,DISORDERLY CONDUCT,6
75214,2,DWI,3
75214,2,EMBEZZLEMENT,4
75214,2,FIREARMS ACCIDENT,1
75214,2,FORGERY & COUNTERFEIT,10
75214,2,FOUND PROPERTY,65
75214,2,FRAUD,3
75214,2,HOME ACCIDENT,5
75214,2,LOST PROPERTY,8
75214,2,MOTOR VEHICLE ACCIDENT,62
75214,2,NARCOTICS/DRUGS,1
75214,2,OTHER OFFENSES,24
75214,2,ROBBERY,9
75214,2,SUDDEN DEATH,16
75214,2,THEFT,263
75214,3,ACCIDENTAL INJURY,17
75214,3,AGGRAVATED ASSAULT,6
75214,3,ANIMAL BITE,3
75214,3,ARSON,2
75214,3,ASSAULT,25
75214,3,AUTO THEFT - UUMV,35
75214,3,BURGLARY,53
75214,3,CHILD (OFFENSES AGAINST),1
75214,3,CRIMINAL MISCHIEF/VANDALISM,63
75214,3,DISORDERLY CONDUCT,8
75214,3,DWI,7
75214,3,EMBEZZLEMENT,1
75214,3,FORGERY & COUNTERFEIT,5
75214,3,FOUND PROPERTY,61
75214,3,FRAUD,3
75214,3,HOME ACCIDENT,12
75214,3,LOST PROPERTY,3
75214,3,MOTOR VEHICLE ACCIDENT,73
75214,3,MURDER,1
75214,3,NARCOTICS/DRUGS,2
75214,3,OTHER OFFENSES,20
75214,3,ROBBERY,23
75214,3,SUDDEN DEATH,16
75214,3,THEFT,218
75214,3,TRAFFIC FATALITY,1
75214,3,WEAPONS,1
75214,U,ANIMAL BITE,1
75214,U,ASSAULT,1
75214,U,AUTO THEFT - UUMV,20
75214,U,BURGLARY,82
75214,U,CRIMINAL MISCHIEF/VANDALISM,56
75214,U,DISORDERLY CONDUCT,9
75214,U,EMBEZZLEMENT,7
75214,U,FORGERY & COUNTERFEIT,5
75214,U,FOUND PROPERTY,27
75214,U,FRAUD,12
75214,U,LOST PROPERTY,5
75214,U,MOTOR VEHICLE ACCIDENT,9
75214,U,MURDER,1
75214,U,OTHER OFFENSES,1
75214,U,SUDDEN DEATH,12
75214,U,THEFT,160
75215,1,ACCIDENTAL INJURY,28
75215,1,AGGRAVATED ASSAULT,70
75215,1,ANIMAL BITE,4
75215,1,ARSON,20
75215,1,ASSAULT,75
75215,1,AUTO THEFT - UUMV,103
75215,1,BURGLARY,164
75215,1,CHILD (OFFENSES AGAINST),2
75215,1,CRIMINAL MISCHIEF/VANDALISM,203
75215,1,DISORDERLY CONDUCT,11
75215,1,DWI,10
75215,1,EMBEZZLEMENT,3
75215,1,FIREARMS ACCIDENT,4
75215,1,FORGERY & COUNTERFEIT,10
75215,1,FOUND PROPERTY,210
75215,1,FRAUD,77
75215,1,GAMBLING,1
75215,1,HOME ACCIDENT,14
75215,1,LOST PROPERTY,15
75215,1,MOTOR VEHICLE ACCIDENT,113
75215,1,MURDER,5
75215,1,NARCOTICS/DRUGS,6
75215,1,OCCUPATIONAL ACCIDENT,1
75215,1,OTHER OFFENSES,34
75215,1,ROBBERY,91
75215,1,SUDDEN DEATH,29
75215,1,THEFT,241
75215,1,TRAFFIC FATALITY,2
75215,1,WEAPONS,2
75215,2,ACCIDENTAL INJURY,29
